UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root        1189       1    1203  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1189       1    1208  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1189       1    1328  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1189       1    1330  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1189       1    1348  0    7 Feb13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1195       1    1195  0    4 Feb13 ?        00:00:07 /usr/libexec/upowerd
root        1195       1    1239  0    4 Feb13 ?        00:00:00 /usr/libexec/upowerd
root        1195       1    1240  0    4 Feb13 ?        00:00:00 /usr/libexec/upowerd
root        1195       1    1241  0    4 Feb13 ?        00:00:00 /usr/libexec/upowerd
root        1197       1    1197  0   61 Feb13 ?        00:01:12 /bin/warp-svc
root        1197       1    1275  0   61 Feb13 ?        00:00:43 /bin/warp-svc
root        1197       1    1278  0   61 Feb13 ?        00:00:13 /bin/warp-svc
root        1197       1    1279  0   61 Feb13 ?        00:01:14 /bin/warp-svc
root        1197       1    1280  0   61 Feb13 ?        00:00:02 /bin/warp-svc
root        1197       1    1281  0   61 Feb13 ?        00:00:30 /bin/warp-svc
root        1197       1    1282  0   61 Feb13 ?        00:01:03 /bin/warp-svc
root        1197       1    1284  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1285  0   61 Feb13 ?        00:00:53 /bin/warp-svc
root        1197       1    1286  0   61 Feb13 ?        00:00:04 /bin/warp-svc
root        1197       1    1287  0   61 Feb13 ?        00:01:04 /bin/warp-svc
root        1197       1    1288  0   61 Feb13 ?        00:01:16 /bin/warp-svc
root        1197       1    1289  0   61 Feb13 ?        00:00:17 /bin/warp-svc
root        1197       1    1291  0   61 Feb13 ?        00:01:14 /bin/warp-svc
root        1197       1    1292  0   61 Feb13 ?        00:00:30 /bin/warp-svc
root        1197       1    1293  0   61 Feb13 ?        00:00:17 /bin/warp-svc
root        1197       1    1294  0   61 Feb13 ?        00:01:36 /bin/warp-svc
root        1197       1    1295  0   61 Feb13 ?        00:00:47 /bin/warp-svc
root        1197       1    1296  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1297  0   61 Feb13 ?        00:00:18 /bin/warp-svc
root        1197       1    1298  0   61 Feb13 ?        00:01:27 /bin/warp-svc
root        1197       1    1310  0   61 Feb13 ?        00:00:02 /bin/warp-svc
root        1197       1    1319  0   61 Feb13 ?        00:00:01 /bin/warp-svc
root        1197       1    1324  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1326  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1327  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1329  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1331  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1332  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1333  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1334  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1335  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1336  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1337  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1338  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1846  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1850  0   61 Feb13 ?        00:00:30 /bin/warp-svc
root        1197       1    1852  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1854  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1855  0   61 Feb13 ?        00:00:00 /bin/warp-svc
root        1197       1    1856  0   61 Feb13 ?        00:00:00 /bin/warp-svc
