USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  43792 14168 ?        Ss   Feb13   0:08 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root         594  0.0  0.0      0     0 ?        S    Feb13   0:00 [card1-crtc2]
root         595  0.0  0.0      0     0 ?        S    Feb13   0:00 [card1-crtc3]
root         676  0.0  0.0      0     0 ?        S    Feb13   0:00 [psimon]
root         687  0.0  0.5 317496 88640 ?        Ss   Feb13   0:20 /usr/lib/systemd/systemd-journald
root         715  0.0  0.0  16604  5936 ?        Ss   Feb13   0:00 /usr/lib/systemd/systemd-userdbd
root         724  0.0  0.0  41932  7236 ?        Ss   Feb13   0:01 /usr/lib/systemd/systemd-udevd
root         735  0.0  0.0      0     0 ?        S    Feb13   0:00 [psimon]
root         887  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-cfg80211]
root         911  0.0  0.0      0     0 ?        S    Feb13   0:00 [nv_queue]
root         912  0.0  0.0      0     0 ?        S    Feb13   0:00 [nv_queue]
root         913  0.0  0.0      0     0 ?        S    Feb13   0:00 [nv_open_q]
root         918  0.0  0.0      0     0 ?        S    Feb13   0:30 [irq/156-iwlwifi:default_queue]
root         919  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/157-iwlwifi:queue_1]
root         920  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/158-iwlwifi:queue_2]
root         921  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/159-iwlwifi:queue_3]
root         924  0.0  0.0      0     0 ?        S    Feb13   0:17 [irq/160-iwlwifi:queue_4]
root         926  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/161-iwlwifi:queue_5]
root         927  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/162-iwlwifi:queue_6]
root         928  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/163-iwlwifi:queue_7]
root         929  0.0  0.0      0     0 ?        S    Feb13   0:03 [irq/164-iwlwifi:queue_8]
root         930  0.0  0.0      0     0 ?        S    Feb13   0:04 [irq/165-iwlwifi:queue_9]
root         931  0.0  0.0      0     0 ?        S    Feb13   0:03 [irq/166-iwlwifi:queue_10]
